age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
2.525,7%,14%,0%,0%,0%,0%,6%,13%,12%,7%,3%,2%,21%,9%,6%,13.2,10.1,11
2.531,6%,10%,0%,0%,0%,0%,7%,11%,15%,4%,4%,2%,21%,11%,7%,12.5,9.7,10.4
2.537,6%,10%,0%,0%,0%,0%,11%,15%,12%,7%,0%,0%,24%,11%,4%,11.1,8.4,11.2
2.554,4%,8%,0%,0%,0%,0%,10%,20%,15%,3%,3%,1%,23%,9%,4%,11.6,9.6,9.9
2.572,4%,6%,0%,0%,0%,0%,10%,13%,6%,5%,0%,0%,38%,17%,0%,15.3,13,17.2
2.578,9%,8%,0%,0%,0%,0%,9%,18%,8%,5%,0%,0%,28%,15%,0%,12.7,11.7,12.7
2.583,4%,7%,0%,0%,0%,0%,8%,14%,7%,5%,0%,0%,36%,18%,2%,15.9,13.8,17.2
2.588,14%,9%,0%,0%,0%,0%,19%,14%,4%,3%,1%,0%,27%,7%,2%,7.7,5.4,8.1
2.592,10%,11%,0%,0%,0%,0%,10%,20%,0%,0%,0%,0%,33%,17%,0%,13.4,12.2,16.3
2.595,14%,10%,0%,0%,0%,0%,17%,18%,4%,3%,0%,0%,25%,6%,3%,7.9,6.2,8.6
2.598,7%,22%,0%,0%,0%,0%,8%,25%,0%,0%,0%,0%,24%,14%,0%,12.5,9.4,16.3
2.601,12%,18%,0%,0%,0%,0%,14%,18%,7%,5%,0%,0%,21%,6%,0%,8.1,5.8,7
2.604,3%,12%,0%,0%,0%,0%,7%,30%,3%,3%,0%,0%,31%,9%,0%,15.7,13.1,17.2
2.607,9%,20%,0%,0%,0%,0%,16%,24%,0%,0%,0%,0%,31%,0%,0%,10,7,10.3
2.609,2%,6%,0%,0%,0%,0%,13%,27%,11%,2%,0%,0%,27%,9%,3%,11.3,9.5,12.1
2.609,4%,8%,0%,0%,0%,0%,11%,45%,0%,0%,0%,0%,32%,0%,0%,13.4,12.8,15
2.61,7%,19%,0%,0%,0%,0%,7%,30%,0%,0%,0%,0%,37%,0%,0%,16.1,13.2,16.5
2.612,12%,13%,0%,0%,0%,0%,23%,23%,0%,0%,0%,0%,29%,0%,0%,6.9,4.4,6.9
2.615,7%,10%,0%,0%,0%,0%,12%,15%,10%,9%,0%,0%,19%,11%,6%,8.9,6.4,10.9
2.619,8%,12%,0%,0%,0%,0%,7%,25%,0%,0%,0%,0%,37%,12%,0%,15.8,14.2,18.6
2.625,7%,11%,0%,0%,0%,0%,16%,18%,6%,5%,0%,0%,26%,10%,0%,8.9,5.8,10.3
2.63,20%,16%,0%,0%,0%,0%,12%,23%,0%,0%,0%,0%,30%,0%,0%,10.8,10.5,8.4
2.636,6%,10%,0%,0%,0%,0%,6%,21%,8%,11%,0%,0%,29%,11%,0%,15.9,14.2,15.2
